geno	CH65_i_MI_neg_a	CH65_i_MI_pos_a	CH65_i_MI_neg_b	CH65_i_MI_pos_b	CH65_i_MI_neg_c	CH65_i_MI_pos_c	CH65_i_SI_G189D_neg_a	CH65_i_SI_G189D_pos_a	CH65_i_SI_G189D_neg_b	CH65_i_SI_G189D_pos_b	CH65_i_SI_G189D_neg_c	CH65_i_SI_G189D_pos_c	CH65_i_unsorted
0000000000011001	445	4	329	5	218	6	73	1	82	0	71	0	43
0000000000011010	485	4	377	2	283	7	62	0	109	0	93	0	57
0000000000011011	532	2	471	21	357	7	117	0	100	1	88	0	89
0000000000011100	515	4	362	3	322	4	101	0	90	0	71	1	64
0000000000011101	461	2	371	3	241	7	49	0	86	0	73	1	38
0000000000011110	573	5	470	4	318	9	107	0	108	0	104	0	73
0000000000011111	488	5	391	3	289	11	58	0	86	0	80	1	56
0000000000100000	472	5	373	2	267	3	62	0	83	0	90	0	61
0000000000100001	441	6	380	6	242	5	102	1	75	1	67	2	57
0000000000100010	518	6	364	2	363	11	100	0	91	2	71	4	40
0000000000100011	558	7	396	6	239	10	47	2	79	2	50	4	58
0000000000100100	473	1	344	3	268	8	64	0	82	4	65	1	62
0000000000100101	526	5	431	12	275	6	92	1	94	1	71	3	44
0000000000100110	536	3	387	3	314	7	108	1	98	3	60	1	72
0000000000100111	464	5	410	2	184	8	74	5	78	3	56	2	50
0000000000101000	354	4	277	3	210	1	96	2	69	2	43	3	55
0000000000101001	362	1	302	3	248	5	76	1	73	1	50	1	46
0000000000101010	406	2	315	3	287	5	52	2	73	1	53	1	35
0000000000101011	567	3	407	3	392	8	118	3	84	11	65	9	79
0000000000101100	450	6	322	3	205	2	57	2	80	1	57	3	40
0000000000101101	371	5	315	4	208	3	45	2	65	2	47	5	44
0000000000101110	488	5	331	2	197	7	55	0	101	3	77	4	44
0000000000101111	521	4	372	2	170	1	37	3	92	6	73	2	36
0000000000110000	498	5	371	7	336	11	100	0	91	0	62	5	69
0000000000110001	483	5	374	5	210	8	58	0	72	1	42	3	19
0000000000110010	505	3	397	3	237	5	63	1	77	2	85	1	36
0000000000110011	501	2	393	5	351	14	117	10	72	5	53	11	44
0000000000110100	512	2	378	11	306	5	56	4	77	5	77	5	41
0000000000110101	511	3	420	4	471	6	92	4	70	7	63	4	68
0000000000110110	501	6	365	3	465	7	120	1	88	2	67	2	88
0000000000110111	536	4	414	4	305	6	82	5	64	6	54	3	49
0000000000111000	356	5	267	1	154	8	60	0	58	2	64	0	31
0000000000111001	359	1	358	0	339	6	102	0	72	2	51	5	76
0000000000111010	476	1	323	4	260	10	50	0	80	1	68	2	56
0000000000111011	527	5	381	3	229	13	31	3	79	5	63	6	24
0000000000111100	390	2	317	1	307	2	67	1	76	2	58	2	43
0000000000111101	379	1	330	5	279	6	73	2	63	1	56	3	58
0000000000111110	454	1	341	3	192	2	51	2	87	1	95	1	38
0000000000111111	465	8	312	3	276	5	65	5	52	3	42	3	39
0000000001000000	626	6	579	4	384	12	92	0	145	2	105	0	73
0000000001000001	747	1	527	1	375	6	147	0	121	0	112	0	69
0000000001000010	643	3	482	16	512	8	176	0	146	0	102	3	77
0000000001000011	760	3	638	7	327	11	111	1	132	1	114	2	70
0000000001000100	625	7	464	7	331	8	64	1	146	2	100	0	68
0000000001000101	692	5	569	18	576	8	156	0	156	0	100	1	99
0000000001000110	644	2	513	14	347	6	92	1	122	0	90	1	62
0000000001000111	640	4	565	5	340	7	98	0	125	0	101	0	83
0000000001001000	491	2	361	5	260	8	61	1	102	0	76	0	59
0000000001001001	546	5	388	2	189	6	76	0	96	0	103	0	46
0000000001001010	619	4	485	4	343	4	81	0	119	0	103	0	69
0000000001001011	718	6	528	3	454	8	86	0	125	0	92	0	89
0000000001001100	592	6	453	2	327	9	95	0	109	0	99	0	80
0000000001001101	499	4	394	1	242	8	79	1	81	0	72	1	67
0000000001001110	771	4	561	2	410	8	142	0	148	0	91	1	82
0000000001001111	637	4	570	4	322	4	109	0	138	0	111	0	47
0000000001010000	679	1	531	6	498	7	170	1	115	1	100	0	128
0000000001010001	582	7	446	7	257	2	60	0	108	0	102	4	41
0000000001010010	640	3	431	18	363	4	82	1	130	1	81	1	95
0000000001010011	641	4	501	9	394	9	87	1	130	2	94	0	65
0000000001010100	658	6	570	4	299	7	68	0	137	0	109	3	68
0000000001010101	612	2	398	10	301	7	100	2	110	0	104	0	62
0000000001010110	613	3	462	4	399	7	121	2	106	2	101	2	88
0000000001010111	639	4	460	6	295	7	77	0	104	0	107	3	65
0000000001011000	456	4	311	1	253	4	74	1	86	0	73	0	39
0000000001011001	524	4	351	4	232	8	59	0	93	1	87	0	32
0000000001011010	587	5	443	6	261	12	70	0	125	0	79	0	69
0000000001011011	547	6	433	10	422	6	95	1	125	0	94	0	73
0000000001011100	576	2	424	2	225	8	97	0	119	1	100	0	35
0000000001011101	521	5	387	4	297	8	109	0	98	0	86	0	56
0000000001011110	647	4	415	6	353	4	144	0	113	0	100	1	91
0000000001011111	593	7	474	7	482	9	96	0	129	1	85	4	88
0000000001100000	602	4	442	1	322	10	116	0	103	3	75	2	101
0000000001100001	534	5	382	5	271	1	98	2	88	2	70	2	46
0000000001100010	576	8	371	7	372	8	128	1	94	1	87	3	77
0000000001100011	626	10	455	24	263	5	108	8	70	9	66	2	60
0000000001100100	553	5	396	9	331	9	92	1	83	3	79	2	48
0000000001100101	573	4	379	12	299	2	56	2	86	1	57	0	49
0000000001100110	546	8	401	3	293	7	77	2	102	5	71	6	53
0000000001100111	584	2	465	9	349	7	121	3	90	6	61	5	69
0000000001101000	410	3	294	2	165	4	42	1	74	0	47	1	33
0000000001101001	447	2	328	15	285	9	83	1	78	2	80	2	65
0000000001101010	544	3	374	3	229	11	51	0	78	2	68	1	37
0000000001101011	598	5	436	1	282	10	60	5	81	5	51	6	87
0000000001101100	442	1	331	21	143	7	64	1	81	1	62	1	48
0000000001101101	449	4	345	2	171	6	22	0	70	1	74	2	28
0000000001101110	625	1	443	3	217	4	55	1	108	1	99	1	30
0000000001101111	543	1	402	5	239	10	119	4	76	5	56	4	43
0000000001110000	538	4	451	4	375	5	86	0	88	3	72	2	73
0000000001110001	535	4	412	4	184	3	56	4	77	3	51	3	28
0000000001110010	514	4	447	1	233	5	56	1	95	6	71	2	61
0000000001110011	591	9	507	8	257	3	46	8	72	15	60	6	55
0000000001110100	565	3	434	6	328	8	71	1	57	4	79	3	61
0000000001110101	605	6	384	0	241	7	68	2	84	10	77	5	57
0000000001110110	571	7	402	1	262	3	61	3	98	2	91	3	37
0000000001110111	658	4	456	4	312	11	86	12	84	8	64	6	48
0000000001111000	374	2	298	1	237	5	96	0	65	1	55	2	40
0000000001111001	470	5	290	1	165	3	52	3	56	2	57	4	35
0000000001111010	519	0	422	14	210	4	80	2	95	2	82	4	28
0000000001111011	541	6	435	2	226	4	56	8	63	12	66	2	32
0000000001111100	445	5	330	3	154	2	55	3	88	1	66	4	31
0000000001111101	472	5	369	3	205	5	60	5	68	3	55	4	34
0000000001111110	606	3	384	1	227	5	83	4	109	6	64	5	24
0000000001111111	548	4	384	7	190	9	72	3	66	9	52	6	56
0000000010000000	580	5	505	6	361	5	102	0	126	0	96	1	64
0000000010000001	577	12	466	17	267	13	76	3	94	1	86	1	40
0000000010000010	576	4	469	7	463	12	96	0	98	0	92	1	76
0000000010000011	633	6	521	23	493	22	139	1	127	1	111	1	73
0000000010000100	553	3	447	5	233	9	56	0	94	1	89	0	56
0000000010000101	535	1	448	23	346	7	123	0	99	0	90	1	53
0000000010000110	612	6	496	8	382	8	64	1	125	0	113	0	82
0000000010000111	636	10	467	15	300	7	82	0	102	1	96	3	79
0000000010001000	444	2	362	3	175	9	45	0	87	0	80	0	47
0000000010001001	493	4	340	2	269	8	109	1	83	1	62	3	51
0000000010001010	534	3	395	3	209	7	70	0	115	0	87	1	45
0000000010001011	543	6	377	4	316	17	97	1	96	0	75	2	69
0000000010001100	537	4	372	3	255	4	100	0	104	1	76	0	65
0000000010001101	468	3	324	4	302	7	128	1	79	1	68	0	46
0000000010001110	584	4	471	10	285	9	52	0	115	0	104	0	39
0000000010001111	549	6	420	4	339	8	79	0	97	0	99	0	73
0000000010010000	570	5	472	23	391	10	77	1	114	1	101	2	49
0000000010010001	502	6	382	3	276	8	97	0	93	3	77	3	42
0000000010010010	513	6	425	13	337	7	66	0	102	0	95	0	64
0000000010010011	571	7	475	1	259	10	88	0	85	2	93	0	39
0000000010010100	514	1	379	3	277	9	77	0	108	1	91	0	43
0000000010010101	531	3	359	6	419	8	134	0	108	2	90	2	58
0000000010010110	555	3	437	4	237	11	70	0	116	0	77	0	48
0000000010010111	507	1	488	22	350	5	72	0	110	0	75	1	56
0000000010011000	378	3	359	4	261	5	55	1	74	0	65	0	34
0000000010011001	404	2	283	3	225	3	46	1	87	1	69	1	54
0000000010011010	539	5	367	1	317	7	77	1	102	0	70	1	40
0000000010011011	497	5	427	3	314	5	70	2	101	1	83	1	39
0000000010011100	514	5	369	2	328	2	107	0	113	0	77	4	39
0000000010011101	469	2	387	15	361	6	95	1	82	2	65	0	77
0000000010011110	607	3	438	2	328	6	99	0	123	0	86	0	46
0000000010011111	473	3	398	20	257	5	54	0	101	0	78	0	36
0000000010100000	536	2	395	3	378	10	71	4	85	4	67	2	50
0000000010100001	497	3	342	4	258	10	51	1	81	2	68	2	49
0000000010100010	550	2	421	3	377	6	127	0	104	1	89	1	63
0000000010100011	562	4	469	2	270	9	62	7	83	4	69	2	45
0000000010100100	442	5	382	2	207	4	92	0	94	1	53	1	52
0000000010100101	520	7	412	9	365	6	102	3	92	2	91	3	101
0000000010100110	455	3	387	18	273	7	96	0	80	0	77	0	36
0000000010100111	545	6	422	17	522	8	79	6	98	4	78	5	110
0000000010101000	300	3	216	1	146	5	47	0	69	1	49	0	47
0000000010101001	393	5	276	1	295	8	74	3	64	2	56	3	30
0000000010101010	450	6	351	2	234	5	86	1	72	3	65	2	48
0000000010101011	447	0	333	2	308	12	91	4	78	4	51	1	58
0000000010101100	444	2	367	8	244	5	63	2	69	2	77	3	48
0000000010101101	389	2	323	12	246	5	114	3	62	4	51	1	93
0000000010101110	503	3	397	7	350	3	58	1	83	2	75	4	72
0000000010101111	520	7	446	5	306	11	92	2	83	4	59	6	62
0000000010110000	497	5	437	0	391	7	60	2	98	0	64	2	51
0000000010110001	484	4	423	0	198	15	58	3	82	6	70	2	27
0000000010110010	525	5	417	2	400	7	79	2	76	1	75	4	65
0000000010110011	559	3	434	4	286	13	50	6	75	5	67	6	50
0000000010110100	453	2	345	25	244	9	53	2	69	1	62	5	27
0000000010110101	526	6	366	1	264	13	51	4	81	3	68	5	34
0000000010110110	524	6	493	11	240	7	92	0	102	3	83	3	56
0000000010110111	528	6	462	14	260	8	111	0	75	8	67	1	56
0000000010111000	319	2	265	1	158	7	36	3	62	3	39	2	21
0000000010111001	371	6	370	0	145	3	54	4	70	1	46	2	40
0000000010111010	459	6	322	2	219	2	85	1	89	1	72	1	47
0000000010111011	496	12	326	1	237	10	53	5	67	4	52	9	45
0000000010111100	401	3	287	8	179	10	37	4	76	2	59	4	43
0000000010111101	399	2	300	21	287	5	57	3	63	3	54	0	41
0000000010111110	527	6	348	4	244	9	71	2	74	1	67	0	62
0000000010111111	472	5	337	2	379	5	95	3	75	6	53	3	39
0000000011000000	490	3	396	12	245	4	43	0	111	2	74	1	37
0000000011000001	472	4	425	4	271	4	93	0	81	0	68	0	56
0000000011000010	509	4	431	4	315	4	93	0	110	0	55	3	65
0000000011000011	624	3	477	2	471	11	120	2	104	1	81	8	99
0000000011000100	429	2	362	2	219	4	60	0	93	0	79	0	33
0000000011000101	523	1	364	17	559	8	108	0	91	1	85	2	127
0000000011000110	511	4	386	3	322	7	89	0	105	0	77	0	53
0000000011000111	513	4	375	6	364	5	97	0	103	2	74	2	53
0000000011001000	330	7	260	5	225	4	72	0	78	0	58	3	34
0000000011001001	391	1	284	4	213	1	64	0	66	0	56	1	64
0000000011001010	438	2	317	4	224	10	37	0	81	0	90	0	32
0000000011001011	488	3	410	44	308	3	101	0	101	0	82	1	54
0000000011001100	461	2	342	1	347	8	74	0	96	0	68	2	49
0000000011001101	416	1	343	6	279	1	72	0	69	0	57	0	39
0000000011001110	519	2	361	2	286	4	61	0	107	0	64	2	38
0000000011001111	540	1	350	13	387	7	88	1	103	0	77	0	61
0000000011010000	479	4	353	0	251	2	102	1	107	1	91	1	72
0000000011010001	493	0	398	19	162	4	51	1	84	0	59	0	36
0000000011010010	456	3	319	2	274	2	91	0	94	0	61	0	55
0000000011010011	449	3	323	10	234	7	57	0	72	1	68	0	46
0000000011010100	430	6	311	3	234	5	66	0	84	2	63	0	47
0000000011010101	455	2	389	4	303	5	79	1	75	0	64	0	66
0000000011010110	475	2	354	2	198	4	98	0	82	0	67	0	41
0000000011010111	406	1	341	0	258	7	62	0	90	0	77	2	54
0000000011011000	305	1	238	13	154	6	65	0	59	0	62	0	46
0000000011011001	345	2	236	9	209	5	41	1	61	0	43	2	24
0000000011011010	453	1	311	2	202	3	51	0	79	0	68	0	40
0000000011011011	454	4	292	1	237	4	125	0	95	1	73	2	43
0000000011011100	338	5	252	7	176	8	50	1	80	1	66	0	32
0000000011011101	325	4	267	0	196	2	41	0	60	0	50	0	35
0000000011011110	423	4	300	3	165	6	40	0	76	1	61	0	33
0000000011011111	431	5	314	2	261	1	56	2	68	1	61	1	82
0000000011100000	469	1	329	3	210	6	36	5	70	7	50	1	19
0000000011100001	407	1	297	1	204	12	65	5	71	6	51	2	41
0000000011100010	493	5	359	9	303	4	94	4	72	8	48	2	46
0000000011100011	415	3	315	2	216	1	53	5	44	8	34	7	38
0000000011100100	394	4	288	3	204	5	60	6	59	4	34	3	39
0000000011100101	390	2	352	6	205	5	92	5	70	6	43	4	27
0000000011100110	370	1	256	2	169	5	53	3	69	3	43	3	32
0000000011100111	447	2	289	2	178	2	31	11	53	9	32	4	28
0000000011101000	288	1	187	1	99	5	42	1	46	2	35	3	29
0000000011101001	329	3	274	6	196	4	57	2	51	3	47	4	42
0000000011101010	353	1	277	4	198	3	69	1	45	4	37	1	60
0000000011101011	412	2	322	5	193	5	35	7	62	3	35	9	35
0000000011101100	299	0	201	0	188	1	44	0	51	1	36	2	47
0000000011101101	374	6	291	3	276	6	58	5	58	8	43	4	44
0000000011101110	384	2	328	1	167	3	41	1	50	2	46	1	19
0000000011101111	391	6	281	2	142	4	33	9	47	5	38	2	22
0000000011110000	397	4	279	2	133	5	43	4	44	10	48	2	24
0000000011110001	431	2	313	6	160	8	46	8	64	8	36	13	27
0000000011110010	390	1	317	8	227	3	65	3	46	1	51	2	19
0000000011110011	422	3	272	1	239	5	63	4	44	7	30	8	46
0000000011110100	321	3	293	2	350	3	55	6	40	6	48	3	66
0000000011110101	405	5	277	2	244	3	62	6	56	6	35	6	48
0000000011110110	376	4	290	10	370	4	123	5	52	7	31	3	71
0000000011110111	297	3	313	1	193	10	37	2	33	11	25	5	24
0000000011111000	305	0	226	2	112	2	62	3	43	5	39	0	25
0000000011111001	287	0	200	0	115	4	26	5	42	2	36	5	23
0000000011111010	326	4	230	1	174	11	24	5	53	5	32	5	17
0000000011111011	367	2	259	5	203	3	44	8	29	15	25	4	30
0000000011111100	338	2	258	2	236	4	49	6	54	9	38	3	38
0000000011111101	316	0	263	6	199	3	66	7	56	4	27	3	20
0000000011111110	371	4	301	4	288	1	123	3	57	3	44	3	34
0000000011111111	342	1	301	26	363	3	78	5	34	7	28	13	47
0000000100000000	577	4	482	5	301	8	64	1	101	1	86	0	44
0000000100000001	508	3	482	8	274	10	37	0	91	0	86	2	33
0000000100000010	577	0	467	13	312	6	57	0	104	0	106	0	76
0000000100000011	607	6	427	7	318	11	78	1	102	0	109	0	66
0000000100000100	506	2	384	5	394	5	55	1	102	0	91	0	81
0000000100000101	542	4	451	6	214	19	43	0	111	1	97	1	44
0000000100000110	546	5	450	9	253	7	55	0	92	0	90	1	48
0000000100000111	547	2	496	6	460	7	56	1	89	1	98	2	80
0000000100001000	364	3	342	3	167	6	31	0	80	1	71	1	29
0000000100001001	407	2	332	6	252	13	41	1	66	1	74	2	61
0000000100001010	493	3	445	2	249	16	41	0	87	0	55	0	44
0000000100001011	522	7	448	4	331	7	58	2	100	2	101	2	42
0000000100001100	476	4	342	4	222	5	40	0	91	0	80	0	54
0000000100001101	471	4	400	15	196	4	63	0	93	0	66	1	45
0000000100001110	535	2	414	10	313	6	84	0	111	0	97	1	49
0000000100001111	495	8	491	4	498	13	87	0	101	0	70	0	82
0000000100010000	501	3	428	18	305	4	79	0	108	0	85	0	67
0000000100010001	431	7	355	2	556	5	169	1	70	2	66	2	83
0000000100010010	520	2	450	4	249	3	47	0	82	0	73	1	58
0000000100010011	606	8	450	0	376	8	105	0	106	3	86	2	62
0000000100010100	439	4	378	6	358	8	115	1	108	1	75	4	57
0000000100010101	511	4	407	5	282	9	66	0	94	2	71	3	40
0000000100010110	420	5	332	2	238	9	89	0	80	1	83	4	29
0000000100010111	469	5	392	2	266	14	85	0	87	0	81	2	45
0000000100011000	368	4	290	6	296	8	87	1	70	0	68	1	35
0000000100011001	360	0	279	2	167	13	30	0	60	2	50	0	30
0000000100011010	354	4	359	1	247	8	48	0	72	0	64	0	42
0000000100011011	413	6	352	2	257	8	61	0	78	1	61	3	61
0000000100011100	452	4	328	2	287	2	75	2	99	0	78	1	35
0000000100011101	383	3	330	1	145	9	43	0	83	1	69	0	32
0000000100011110	410	3	377	3	335	3	59	0	71	0	74	1	39
0000000100011111	527	9	424	5	303	6	67	0	94	0	90	1	40
0000000100100000	475	7	434	1	350	7	62	4	78	6	79	5	50
0000000100100001	398	4	355	1	265	4	34	3	67	1	48	2	58
0000000100100010	501	4	412	16	325	8	83	6	90	6	71	4	50
0000000100100011	436	4	356	2	360	5	59	10	63	11	48	4	44
0000000100100100	395	5	366	1	276	5	69	2	88	5	51	1	35
0000000100100101	522	7	431	6	270	7	76	5	88	4	67	1	39
0000000100100110	459	6	414	12	223	9	62	8	63	3	71	2	30
0000000100100111	447	6	417	1	425	11	90	6	79	12	55	4	70
0000000100101000	347	1	289	17	326	5	51	0	56	4	54	2	53
0000000100101001	369	9	325	4	145	4	34	5	65	1	49	3	22
0000000100101010	503	4	384	2	176	12	48	2	86	7	49	1	34
0000000100101011	450	4	318	5	249	8	66	9	55	8	42	4	36
0000000100101100	353	5	332	8	273	9	64	2	83	2	56	2	43
0000000100101101	379	5	337	17	291	7	76	2	61	4	44	9	66
0000000100101110	482	2	442	2	299	8	60	2	82	5	51	2	65
0000000100101111	483	7	373	5	296	8	66	10	67	10	48	6	53
0000000100110000	455	2	406	10	256	8	85	5	77	7	60	10	40
0000000100110001	468	2	403	3	228	5	37	4	50	4	61	5	38
0000000100110010	483	1	349	5	234	3	52	7	69	6	55	9	37
0000000100110011	504	4	360	4	225	8	15	4	53	17	39	8	29
0000000100110100	509	6	394	0	286	5	51	4	64	4	64	5	35
0000000100110101	508	3	419	17	337	8	72	5	72	4	64	5	54
0000000100110110	466	3	412	31	383	5	78	4	70	7	58	6	39
0000000100110111	469	3	413	6	314	5	51	12	49	10	39	15	56
0000000100111000	342	3	245	8	286	3	49	3	56	2	49	1	40
0000000100111001	350	2	314	4	165	4	38	2	45	8	45	3	42
0000000100111010	382	4	294	1	226	5	30	5	49	3	37	2	48
0000000100111011	479	5	360	6	291	9	41	8	53	10	43	7	59
0000000100111100	433	4	328	3	223	5	64	1	54	3	49	5	28
0000000100111101	427	6	329	2	204	7	33	4	62	8	48	5	23
0000000100111110	436	1	337	8	340	9	80	0	79	6	43	3	52
0000000100111111	501	10	396	6	337	2	111	8	40	12	35	9	39
0000000101000000	692	11	665	23	472	22	98	2	133	0	110	5	79
0000000101000001	672	8	524	2	362	13	122	2	134	1	118	0	56
0000000101000010	803	22	607	10	460	16	146	0	141	0	118	1	82
0000000101000011	776	13	639	54	434	16	96	0	144	3	103	2	73
0000000101000100	657	14	531	9	399	25	96	2	111	0	109	1	65
0000000101000101	712	18	534	38	348	17	115	3	146	0	112	1	59
0000000101000110	754	18	615	11	325	24	119	0	162	1	114	2	72
0000000101000111	731	12	629	24	412	18	105	3	156	0	112	1	93
0000000101001000	454	6	396	3	286	13	106	0	126	0	88	1	57
0000000101001001	565	14	437	6	312	14	59	0	135	1	103	0	34
0000000101001010	647	9	526	3	347	14	57	1	129	0	97	1	70
0000000101001011	705	15	553	10	442	21	89	0	122	2	110	2	94
0000000101001100	623	7	441	7	347	12	89	1	115	0	89	0	52
0000000101001101	574	10	465	4	263	16	119	4	122	1	84	4	56
0000000101001110	738	10	579	26	356	18	114	0	132	1	115	2	64
0000000101001111	690	17	563	6	427	21	76	1	139	1	99	1	63
0000000101010000	649	5	518	28	385	17	98	0	131	2	111	1	56
0000000101010001	593	15	466	21	286	10	92	0	112	1	76	0	60
0000000101010010	696	15	549	8	401	22	124	0	135	0	109	0	83
0000000101010011	698	18	580	44	415	33	128	2	122	2	107	2	56
0000000101010100	662	10	561	11	397	16	131	1	96	0	101	1	49
0000000101010101	638	17	556	37	363	19	129	0	123	2	115	3	77
0000000101010110	653	8	538	12	390	11	113	1	139	1	135	4	106
0000000101010111	621	16	597	23	348	19	144	2	131	2	107	4	75
0000000101011000	489	8	376	18	254	9	92	0	103	0	95	0	45
0000000101011001	481	8	399	11	298	13	64	1	98	2	69	1	42
0000000101011010	544	12	446	7	356	16	76	0	115	0	105	1	51
0000000101011011	638	10	502	15	284	21	99	2	114	3	93	1	79
0000000101011100	498	5	443	23	247	15	96	1	106	0	86	2	67
0000000101011101	535	6	412	3	324	15	93	1	116	0	91	0	55
0000000101011110	670	10	476	22	372	11	123	0	136	0	110	4	49
0000000101011111	589	12	526	26	301	15	116	1	107	2	94	1	55
0000000101100000	647	11	552	22	315	17	104	5	100	6	82	7	55
0000000101100001	574	15	427	21	333	16	58	3	79	8	64	10	77
0000000101100010	578	13	603	6	396	19	63	7	85	4	71	14	73
0000000101100011	612	14	513	10	350	34	33	13	49	20	44	40	94
0000000101100100	560	13	469	19	287	27	75	6	96	6	76	6	55
0000000101100101	552	13	478	11	344	18	57	6	79	9	69	20	58
0000000101100110	564	7	487	19	322	12	84	9	110	9	89	9	62
0000000101100111	621	12	473	6	273	14	51	14	63	12	36	24	68
0000000101101000	380	3	345	2	224	13	42	0	81	7	63	6	49
0000000101101001	419	11	329	4	224	14	43	2	72	6	68	8	40
0000000101101010	495	9	469	31	222	21	68	9	80	6	70	11	63
0000000101101011	579	10	437	21	237	21	61	12	62	14	49	49	54
0000000101101100	426	6	396	3	242	22	51	4	82	3	93	9	73
0000000101101101	435	11	404	6	273	17	32	5	72	4	67	6	40
0000000101101110	541	14	441	5	321	11	89	3	90	5	83	7	74
0000000101101111	603	13	450	18	303	11	36	10	73	13	60	34	79
0000000101110000	637	5	494	10	356	19	80	4	77	16	71	24	67
0000000101110001	555	9	421	4	315	12	38	9	75	11	56	21	55
0000000101110010	602	13	506	3	373	10	58	4	74	15	74	16	59
0000000101110011	681	11	510	10	394	20	26	21	34	21	31	46	78
0000000101110100	588	16	470	5	315	18	49	5	70	11	63	19	55
0000000101110101	626	9	471	7	396	18	57	9	77	13	50	38	84
0000000101110110	584	11	469	6	378	11	60	12	69	13	57	18	56
0000000101110111	569	20	497	9	402	19	37	19	44	19	30	47	51
0000000101111000	420	7	368	7	238	9	32	1	54	6	43	10	35
0000000101111001	460	8	350	8	234	9	63	8	59	8	46	14	45
0000000101111010	510	11	432	19	276	19	48	12	64	9	51	10	41
0000000101111011	577	7	487	12	338	10	21	22	43	29	27	23	52
0000000101111100	484	7	404	24	294	8	53	8	83	8	42	12	45
0000000101111101	461	7	366	2	295	13	57	9	43	8	43	22	37
0000000101111110	602	11	448	9	301	14	81	6	89	7	55	10	57
0000000101111111	642	7	470	6	373	20	57	9	51	22	30	31	53
0000000110000000	1445	12	1180	12	660	18	153	1	242	0	256	1	106
0000000110000001	1191	10	1025	14	750	14	120	2	220	2	190	0	185
0000000110000010	1315	10	1087	33	831	18	201	0	250	1	217	2	126
0000000110000011	1422	13	1115	15	992	19	221	3	245	1	184	3	185
0000000110000100	1109	6	968	9	730	19	186	1	199	1	181	10	121
0000000110000101	1203	15	1080	19	1021	27	228	0	234	2	180	3	136
0000000110000110	1184	8	1127	42	844	24	201	0	222	1	172	1	136
0000000110000111	1311	11	1221	11	748	29	236	1	225	3	192	4	123
0000000110001000	821	10	666	5	589	16	103	0	182	0	146	4	98
0000000110001001	909	7	774	11	397	23	94	1	206	0	176	2	87
0000000110001010	1055	12	874	25	569	20	105	0	178	2	170	1	102
0000000110001011	1164	6	915	16	721	26	138	0	212	3	175	4	120
0000000110001100	1040	10	899	10	611	16	132	0	197	1	175	2	87
0000000110001101	959	4	917	25	612	12	173	2	184	1	207	6	157
0000000110001110	1225	12	996	21	828	11	216	0	239	1	209	6	104
0000000110001111	1252	14	993	8	690	17	168	3	228	4	183	6	127
0000000110010000	1125	10	977	13	769	19	173	5	209	1	161	2	113
0000000110010001	1017	17	844	9	602	22	87	0	181	1	182	0	105
0000000110010010	1274	7	982	12	796	22	227	0	220	0	196	1	135
0000000110010011	1230	14	929	16	799	23	143	2	225	0	175	7	117
0000000110010100	1031	11	895	3	572	26	125	0	206	2	180	2	114
0000000110010101	1059	13	894	21	740	22	166	2	192	1	190	4	105
0000000110010110	1088	8	959	33	755	15	164	1	200	2	180	4	102
0000000110010111	1053	4	781	31	829	20	177	2	206	2	132	3	132
0000000110011000	828	9	639	32	648	11	125	0	159	0	137	1	139
0000000110011001	907	10	659	4	644	12	126	1	159	0	169	0	97
