geno,CH65_i_MI_neg_a,CH65_i_MI_pos_a,CH65_i_MI_neg_b,CH65_i_MI_pos_b,CH65_i_MI_neg_c,CH65_i_MI_pos_c,CH65_i_SI_G189D_neg_a,CH65_i_SI_G189D_pos_a,CH65_i_SI_G189D_neg_b,CH65_i_SI_G189D_pos_b,CH65_i_SI_G189D_neg_c,CH65_i_SI_G189D_pos_c,CH65_i_unsorted
0000000001100011,3,76,3,76,3,76,3,153,3,153,3,153,161
0000000001100100,2,27,2,27,2,27,3,30,3,30,3,30,217
0000000001100101,0,56,0,56,0,56,5,35,5,35,5,35,202
0000000001100110,3,138,3,138,3,138,0,64,0,64,0,64,267
0000000001100111,1,180,1,180,1,180,0,115,0,115,0,115,176
0000000001101000,1,15,1,15,1,15,3,17,3,17,3,17,94
0000000001101001,0,23,0,23,0,23,3,38,3,38,3,38,199
0000000001101010,1,41,1,41,1,41,2,77,2,77,2,77,142
0000000001101011,1,107,1,107,1,107,2,102,2,102,2,102,123
0000000001101100,2,23,2,23,2,23,2,33,2,33,2,33,109
0000000001101101,3,21,3,21,3,21,2,28,2,28,2,28,220
0000000001101110,1,48,1,48,1,48,2,61,2,61,2,61,218
0000000001101111,0,71,0,71,0,71,0,96,0,96,0,96,162
0000000001110000,2,52,2,52,2,52,2,75,2,75,2,75,223
0000000001110001,0,51,0,51,0,51,1,83,1,83,1,83,150
0000000001110010,2,119,2,119,2,119,0,153,0,153,0,153,121
0000000001110011,0,179,0,179,0,179,0,234,0,234,0,234,136
0000000001110100,2,42,2,42,2,42,2,88,2,88,2,88,164
0000000001110101,1,56,1,56,1,56,1,111,1,111,1,111,179
0000000001110110,3,157,3,157,3,157,3,207,3,207,3,207,122
0000000001110111,0,186,0,186,0,186,0,235,0,235,0,235,193
0000000001111000,0,147,0,147,0,147,0,63,0,63,0,63,91
0000000001111001,2,43,2,43,2,43,1,96,1,96,1,96,111
0000000001111010,1,99,1,99,1,99,2,118,2,118,2,118,160
0000000001111011,1,138,1,138,1,138,1,215,1,215,1,215,142
0000000001111100,1,68,1,68,1,68,3,57,3,57,3,57,105
0000000001111101,0,44,0,44,0,44,1,93,1,93,1,93,146
0000000001111110,1,155,1,155,1,155,4,145,4,145,4,145,136
0000000001111111,3,179,3,179,3,179,3,187,3,187,3,187,87
0000000010000000,2,145,2,145,2,145,2,137,2,137,2,137,141
0000000010000001,3,143,3,143,3,143,2,175,2,175,2,175,162
0000000010000010,3,227,3,227,3,227,3,163,3,163,3,163,160
0000000010000011,2,329,2,329,2,329,4,309,4,309,4,309,107
0000000010000100,0,129,0,129,0,129,4,171,4,171,4,171,101
0000000010000101,2,315,2,315,2,315,1,184,1,184,1,184,138
0000000010000110,9,245,9,245,9,245,3,186,3,186,3,186,162
0000000010000111,3,264,3,264,3,264,4,290,4,290,4,290,131
0000000010001000,0,119,0,119,0,119,1,101,1,101,1,101,190
0000000010001001,1,185,1,185,1,185,0,131,0,131,0,131,151
0000000010001010,1,237,1,237,1,237,3,150,3,150,3,150,117
0000000010001011,3,430,3,430,3,430,3,252,3,252,3,252,148
0000000010001100,4,161,4,161,4,161,3,164,3,164,3,164,103
0000000010001101,2,169,2,169,2,169,4,147,4,147,4,147,125
0000000010001110,6,331,6,331,6,331,2,201,2,201,2,201,188
0000000010001111,1,253,1,253,1,253,3,229,3,229,3,229,129
0000000010010000,5,302,5,302,5,302,3,235,3,235,3,235,112
0000000010010001,3,163,3,163,3,163,4,271,4,271,4,271,176
0000000010010010,2,280,2,280,2,280,3,203,3,203,3,203,223
0000000010010011,3,275,3,275,3,275,2,374,2,374,2,374,133
0000000010010100,3,171,3,171,3,171,8,235,8,235,8,235,121
0000000010010101,3,283,3,283,3,283,2,305,2,305,2,305,189
0000000010010110,2,203,2,203,2,203,4,175,4,175,4,175,205
0000000010010111,4,222,4,222,4,222,2,300,2,300,2,300,172
0000000010011000,1,552,1,552,1,552,1,180,1,180,1,180,174
0000000010011001,0,156,0,156,0,156,0,219,0,219,0,219,97
0000000010011010,2,194,2,194,2,194,1,214,1,214,1,214,137
0000000010011011,0,329,0,329,0,329,5,291,5,291,5,291,118
0000000010011100,1,421,1,421,1,421,4,232,4,232,4,232,166
0000000010011101,3,309,3,309,3,309,3,209,3,209,3,209,100
0000000010011110,1,309,1,309,1,309,1,249,1,249,1,249,190
0000000010011111,3,229,3,229,3,229,1,305,1,305,1,305,100
0000000010100000,1,178,1,178,1,178,2,135,2,135,2,135,192
0000000010100001,3,99,3,99,3,99,0,156,0,156,0,156,103
0000000010100010,0,283,0,283,0,283,3,207,3,207,3,207,174
0000000010100011,0,250,0,250,0,250,1,246,1,246,1,246,134
0000000010100100,3,110,3,110,3,110,2,113,2,113,2,113,150
0000000010100101,0,264,0,264,0,264,2,179,2,179,2,179,156
0000000010100110,1,167,1,167,1,167,1,180,1,180,1,180,127
0000000010100111,0,275,0,275,0,275,2,243,2,243,2,243,159
0000000010101000,0,109,0,109,0,109,2,92,2,92,2,92,87
0000000010101001,0,94,0,94,0,94,0,104,0,104,0,104,136
0000000010101010,2,116,2,116,2,116,0,148,0,148,0,148,309
0000000010101011,3,229,3,229,3,229,2,194,2,194,2,194,82
0000000010101100,0,148,0,148,0,148,0,101,0,101,0,101,129
0000000010101101,0,182,0,182,0,182,4,129,4,129,4,129,134
0000000010101110,1,136,1,136,1,136,3,170,3,170,3,170,134
0000000010101111,0,190,0,190,0,190,0,228,0,228,0,228,139
0000000010110000,1,157,1,157,1,157,1,216,1,216,1,216,166
0000000010110001,0,294,0,294,0,294,0,225,0,225,0,225,110
0000000010110010,3,440,3,440,3,440,2,249,2,249,2,249,239
0000000010110011,2,300,2,300,2,300,0,440,0,440,0,440,167
0000000010110100,4,106,4,106,4,106,5,184,5,184,5,184,117
0000000010110101,0,230,0,230,0,230,0,263,0,263,0,263,107
0000000010110110,0,195,0,195,0,195,3,296,3,296,3,296,135
0000000010110111,0,206,0,206,0,206,0,290,0,290,0,290,158
0000000010111000,0,98,0,98,0,98,1,156,1,156,1,156,133
0000000010111001,0,170,0,170,0,170,1,218,1,218,1,218,72
0000000010111010,1,190,1,190,1,190,2,178,2,178,2,178,122
0000000010111011,1,203,1,203,1,203,1,267,1,267,1,267,113
0000000010111100,2,158,2,158,2,158,3,165,3,165,3,165,155
0000000010111101,0,301,0,301,0,301,1,182,1,182,1,182,139
0000000010111110,3,275,3,275,3,275,1,198,1,198,1,198,141
0000000010111111,0,315,0,315,0,315,0,292,0,292,0,292,120
0000000011000000,8,51,8,51,8,51,5,64,5,64,5,64,113
0000000011000001,3,98,3,98,3,98,5,55,5,55,5,55,142
0000000011000010,7,146,7,146,7,146,4,107,4,107,4,107,145
0000000011000011,1,241,1,241,1,241,1,249,1,249,1,249,161
0000000011000100,1,45,1,45,1,45,3,64,3,64,3,64,95
0000000011000101,2,173,2,173,2,173,3,84,3,84,3,84,231
0000000011000110,1,104,1,104,1,104,4,121,4,121,4,121,153
0000000011000111,4,170,4,170,4,170,4,210,4,210,4,210,173
0000000011001000,1,62,1,62,1,62,2,57,2,57,2,57,159
0000000011001001,3,41,3,41,3,41,1,55,1,55,1,55,91
0000000011001010,2,56,2,56,2,56,3,81,3,81,3,81,142
0000000011001011,1,150,1,150,1,150,1,123,1,123,1,123,161
0000000011001100,3,124,3,124,3,124,2,64,2,64,2,64,110
0000000011001101,2,39,2,39,2,39,1,50,1,50,1,50,133
0000000011001110,4,117,4,117,4,117,1,90,1,90,1,90,139
0000000011001111,1,316,1,316,1,316,2,160,2,160,2,160,148
0000000011010000,4,176,4,176,4,176,5,130,5,130,5,130,137
0000000011010001,5,231,5,231,5,231,3,187,3,187,3,187,114
0000000011010010,3,229,3,229,3,229,3,174,3,174,3,174,188
0000000011010011,2,188,2,188,2,188,0,223,0,223,0,223,123
0000000011010100,1,111,1,111,1,111,1,126,1,126,1,126,89
0000000011010101,5,174,5,174,5,174,2,177,2,177,2,177,117
0000000011010110,1,149,1,149,1,149,3,190,3,190,3,190,107
0000000011010111,0,211,0,211,0,211,0,228,0,228,0,228,211
0000000011011000,2,115,2,115,2,115,1,101,1,101,1,101,106
0000000011011001,3,126,3,126,3,126,6,119,6,119,6,119,86
0000000011011010,0,191,0,191,0,191,1,156,1,156,1,156,146
0000000011011011,2,143,2,143,2,143,3,286,3,286,3,286,189
0000000011011100,0,166,0,166,0,166,0,105,0,105,0,105,100
0000000011011101,1,90,1,90,1,90,1,95,1,95,1,95,83
0000000011011110,2,233,2,233,2,233,2,139,2,139,2,139,176
0000000011011111,1,476,1,476,1,476,0,199,0,199,0,199,165
0000000011100000,5,52,5,52,5,52,6,77,6,77,6,77,126
0000000011100001,2,72,2,72,2,72,0,61,0,61,0,61,97
0000000011100010,0,118,0,118,0,118,0,108,0,108,0,108,193
0000000011100011,3,150,3,150,3,150,0,154,0,154,0,154,131
0000000011100100,1,88,1,88,1,88,3,69,3,69,3,69,120
0000000011100101,0,106,0,106,0,106,0,81,0,81,0,81,98
0000000011100110,3,139,3,139,3,139,1,84,1,84,1,84,147
0000000011100111,1,115,1,115,1,115,2,190,2,190,2,190,134
0000000011101000,0,34,0,34,0,34,0,39,0,39,0,39,138
0000000011101001,0,46,0,46,0,46,1,47,1,47,1,47,90
0000000011101010,0,79,0,79,0,79,1,93,1,93,1,93,186
0000000011101011,0,70,0,70,0,70,1,156,1,156,1,156,99
0000000011101100,1,60,1,60,1,60,0,40,0,40,0,40,124
0000000011101101,0,70,0,70,0,70,0,44,0,44,0,44,184
0000000011101110,0,113,0,113,0,113,1,100,1,100,1,100,104
0000000011101111,1,146,1,146,1,146,1,124,1,124,1,124,171
0000000011110000,0,68,0,68,0,68,1,117,1,117,1,117,119
0000000011110001,0,115,0,115,0,115,0,103,0,103,0,103,196
0000000011110010,5,102,5,102,5,102,1,138,1,138,1,138,154
0000000011110011,1,240,1,240,1,240,2,197,2,197,2,197,157
0000000011110100,1,78,1,78,1,78,1,91,1,91,1,91,137
0000000011110101,0,164,0,164,0,164,3,120,3,120,3,120,155
0000000011110110,1,222,1,222,1,222,3,157,3,157,3,157,128
0000000011110111,0,246,0,246,0,246,0,225,0,225,0,225,131
0000000011111000,0,50,0,50,0,50,0,65,0,65,0,65,101
0000000011111001,0,105,0,105,0,105,0,73,0,73,0,73,87
0000000011111010,1,75,1,75,1,75,1,110,1,110,1,110,79
0000000011111011,0,130,0,130,0,130,1,165,1,165,1,165,221
0000000011111100,0,59,0,59,0,59,3,84,3,84,3,84,89
0000000011111101,1,88,1,88,1,88,1,85,1,85,1,85,79
0000000011111110,2,193,2,193,2,193,1,153,1,153,1,153,207
0000000011111111,2,165,2,165,2,165,0,140,0,140,0,140,113
0000000100000000,0,109,0,109,0,109,2,109,2,109,2,109,193
0000000100000001,2,68,2,68,2,68,1,153,1,153,1,153,112
0000000100000010,3,266,3,266,3,266,6,180,6,180,6,180,121
0000000100000011,5,153,5,153,5,153,2,271,2,271,2,271,122
0000000100000100,2,119,2,119,2,119,0,92,0,92,0,92,151
0000000100000101,2,143,2,143,2,143,5,121,5,121,5,121,87
0000000100000110,5,149,5,149,5,149,2,143,2,143,2,143,143
0000000100000111,5,245,5,245,5,245,5,207,5,207,5,207,223
0000000100001000,2,69,2,69,2,69,3,59,3,59,3,59,113
0000000100001001,0,89,0,89,0,89,2,118,2,118,2,118,160
0000000100001010,1,146,1,146,1,146,4,104,4,104,4,104,129
0000000100001011,4,150,4,150,4,150,5,168,5,168,5,168,199
0000000100001100,4,113,4,113,4,113,2,92,2,92,2,92,109
0000000100001101,0,71,0,71,0,71,5,105,5,105,5,105,89
0000000100001110,4,119,4,119,4,119,4,159,4,159,4,159,101
0000000100001111,2,333,2,333,2,333,2,176,2,176,2,176,118
0000000100010000,0,317,0,317,0,317,4,187,4,187,4,187,95
0000000100010001,2,320,2,320,2,320,4,180,4,180,4,180,138
0000000100010010,2,110,2,110,2,110,2,207,2,207,2,207,126
0000000100010011,2,275,2,275,2,275,3,352,3,352,3,352,154
0000000100010100,1,301,1,301,1,301,2,159,2,159,2,159,116
0000000100010101,1,215,1,215,1,215,2,255,2,255,2,255,73
0000000100010110,3,188,3,188,3,188,4,206,4,206,4,206,172
0000000100010111,0,209,0,209,0,209,7,297,7,297,7,297,75
0000000100011000,1,131,1,131,1,131,2,129,2,129,2,129,78
0000000100011001,1,84,1,84,1,84,2,129,2,129,2,129,119
0000000100011010,1,124,1,124,1,124,3,132,3,132,3,132,159
0000000100011011,2,177,2,177,2,177,3,216,3,216,3,216,96
0000000100011100,0,242,0,242,0,242,1,156,1,156,1,156,123
0000000100011101,1,114,1,114,1,114,0,146,0,146,0,146,104
0000000100011110,2,251,2,251,2,251,0,183,0,183,0,183,133
0000000100011111,1,147,1,147,1,147,5,231,5,231,5,231,79
0000000100100000,2,86,2,86,2,86,1,56,1,56,1,56,134
0000000100100001,0,92,0,92,0,92,0,70,0,70,0,70,102
0000000100100010,1,111,1,111,1,111,2,131,2,131,2,131,159
0000000100100011,1,273,1,273,1,273,2,198,2,198,2,198,120
0000000100100100,2,136,2,136,2,136,2,46,2,46,2,46,135
0000000100100101,0,59,0,59,0,59,3,90,3,90,3,90,118
0000000100100110,1,115,1,115,1,115,3,96,3,96,3,96,109
0000000100100111,0,167,0,167,0,167,1,173,1,173,1,173,174
0000000100101000,1,33,1,33,1,33,0,56,0,56,0,56,86
0000000100101001,0,111,0,111,0,111,2,67,2,67,2,67,94
0000000100101010,2,51,2,51,2,51,2,111,2,111,2,111,126
0000000100101011,0,169,0,169,0,169,0,172,0,172,0,172,124
0000000100101100,1,41,1,41,1,41,1,61,1,61,1,61,137
0000000100101101,3,67,3,67,3,67,0,57,0,57,0,57,195
0000000100101110,3,136,3,136,3,136,1,122,1,122,1,122,115
0000000100101111,0,226,0,226,0,226,1,151,1,151,1,151,104
0000000100110000,1,116,1,116,1,116,1,153,1,153,1,153,147
0000000100110001,0,235,0,235,0,235,1,113,1,113,1,113,122
0000000100110010,2,271,2,271,2,271,2,211,2,211,2,211,106
0000000100110011,1,186,1,186,1,186,0,276,0,276,0,276,95
0000000100110100,0,87,0,87,0,87,4,129,4,129,4,129,146
0000000100110101,5,185,5,185,5,185,2,165,2,165,2,165,132
0000000100110110,3,224,3,224,3,224,0,196,0,196,0,196,150
0000000100110111,0,313,0,313,0,313,1,295,1,295,1,295,114
0000000100111000,0,102,0,102,0,102,2,77,2,77,2,77,110
0000000100111001,0,144,0,144,0,144,1,117,1,117,1,117,73
0000000100111010,1,165,1,165,1,165,0,130,0,130,0,130,123
0000000100111011,0,196,0,196,0,196,0,246,0,246,0,246,94
0000000100111100,2,118,2,118,2,118,4,117,4,117,4,117,233
0000000100111101,0,131,0,131,0,131,0,130,0,130,0,130,87
0000000100111110,0,172,0,172,0,172,2,192,2,192,2,192,210
0000000100111111,1,296,1,296,1,296,1,283,1,283,1,283,113
0000000101000000,0,0,0,0,0,0,0,0,0,0,0,0,229
0000000101000001,0,0,0,0,0,0,0,0,0,0,0,0,206
0000000101000010,0,1,0,1,0,1,0,0,0,0,0,0,163
0000000101000011,0,2,0,2,0,2,0,0,0,0,0,0,169
0000000101000100,0,0,0,0,0,0,0,1,0,1,0,1,214
0000000101000101,1,0,1,0,1,0,0,0,0,0,0,0,162
0000000101000110,0,0,0,0,0,0,0,1,0,1,0,1,202
0000000101000111,0,2,0,2,0,2,0,1,0,1,0,1,150
0000000101001000,0,0,0,0,0,0,0,0,0,0,0,0,126
0000000101001001,0,1,0,1,0,1,0,0,0,0,0,0,248
0000000101001010,0,0,0,0,0,0,0,0,0,0,0,0,125
0000000101001011,0,4,0,4,0,4,0,1,0,1,0,1,173
0000000101001100,0,1,0,1,0,1,0,1,0,1,0,1,144
0000000101001101,0,0,0,0,0,0,0,1,0,1,0,1,133
0000000101001110,0,0,0,0,0,0,0,2,0,2,0,2,134
0000000101001111,0,1,0,1,0,1,0,1,0,1,0,1,193
0000000101010000,0,1,0,1,0,1,0,1,0,1,0,1,234
0000000101010001,0,2,0,2,0,2,0,0,0,0,0,0,174
0000000101010010,0,0,0,0,0,0,0,1,0,1,0,1,152
0000000101010011,0,1,0,1,0,1,0,2,0,2,0,2,160
0000000101010100,0,0,0,0,0,0,0,1,0,1,0,1,154
0000000101010101,0,0,0,0,0,0,0,0,0,0,0,0,225
0000000101010110,0,1,0,1,0,1,0,0,0,0,0,0,159
0000000101010111,0,0,0,0,0,0,0,0,0,0,0,0,255
0000000101011000,0,0,0,0,0,0,0,1,0,1,0,1,178
0000000101011001,0,0,0,0,0,0,0,0,0,0,0,0,86
0000000101011010,0,2,0,2,0,2,0,2,0,2,0,2,183
0000000101011011,0,1,0,1,0,1,0,2,0,2,0,2,143
0000000101011100,0,0,0,0,0,0,0,0,0,0,0,0,130
0000000101011101,0,1,0,1,0,1,0,1,0,1,0,1,85
0000000101011110,0,1,0,1,0,1,0,1,0,1,0,1,126
0000000101011111,1,1,1,1,1,1,0,1,0,1,0,1,155
0000000101100000,1,2,1,2,1,2,0,0,0,0,0,0,154
0000000101100001,0,0,0,0,0,0,0,1,0,1,0,1,128
0000000101100010,0,1,0,1,0,1,0,2,0,2,0,2,214
0000000101100011,0,2,0,2,0,2,0,0,0,0,0,0,109
0000000101100100,0,0,0,0,0,0,0,0,0,0,0,0,123
0000000101100101,0,1,0,1,0,1,0,0,0,0,0,0,274
0000000101100110,0,0,0,0,0,0,0,2,0,2,0,2,219
0000000101100111,0,0,0,0,0,0,0,4,0,4,0,4,146
0000000101101000,0,1,0,1,0,1,0,0,0,0,0,0,124
0000000101101001,0,0,0,0,0,0,0,0,0,0,0,0,194
0000000101101010,0,0,0,0,0,0,0,0,0,0,0,0,235
0000000101101011,0,0,0,0,0,0,0,0,0,0,0,0,134
0000000101101100,0,0,0,0,0,0,0,1,0,1,0,1,138
0000000101101101,0,0,0,0,0,0,0,1,0,1,0,1,133
0000000101101110,0,0,0,0,0,0,0,0,0,0,0,0,137
0000000101101111,0,0,0,0,0,0,0,0,0,0,0,0,144
0000000101110000,0,2,0,2,0,2,0,0,0,0,0,0,170
0000000101110001,0,0,0,0,0,0,0,0,0,0,0,0,199
0000000101110010,0,1,0,1,0,1,0,0,0,0,0,0,115
0000000101110011,0,1,0,1,0,1,0,1,0,1,0,1,174
0000000101110100,0,0,0,0,0,0,0,0,0,0,0,0,158
0000000101110101,0,1,0,1,0,1,0,0,0,0,0,0,175
0000000101110110,0,0,0,0,0,0,0,0,0,0,0,0,137
0000000101110111,0,0,0,0,0,0,0,0,0,0,0,0,157
0000000101111000,0,1,0,1,0,1,0,1,0,1,0,1,134
0000000101111001,0,0,0,0,0,0,0,1,0,1,0,1,120
0000000101111010,0,2,0,2,0,2,0,0,0,0,0,0,160
0000000101111011,0,0,0,0,0,0,0,2,0,2,0,2,200
0000000101111100,0,0,0,0,0,0,0,1,0,1,0,1,144
0000000101111101,0,1,0,1,0,1,0,0,0,0,0,0,242
0000000101111110,0,1,0,1,0,1,0,1,0,1,0,1,137
0000000101111111,0,0,0,0,0,0,0,1,0,1,0,1,99
0000000110000000,4,289,4,289,4,289,6,299,6,299,6,299,421
0000000110000001,9,322,9,322,9,322,9,308,9,308,9,308,296
0000000110000010,6,384,6,384,6,384,9,417,9,417,9,417,294
0000000110000011,5,548,5,548,5,548,4,531,4,531,4,531,346
0000000110000100,1,290,1,290,1,290,5,288,5,288,5,288,384
0000000110000101,1,674,1,674,1,674,10,362,10,362,10,362,361
0000000110000110,7,394,7,394,7,394,8,415,8,415,8,415,435
0000000110000111,6,493,6,493,6,493,2,577,2,577,2,577,375
0000000110001000,1,250,1,250,1,250,3,202,3,202,3,202,242
0000000110001001,0,194,0,194,0,194,6,295,6,295,6,295,388
0000000110001010,5,323,5,323,5,323,5,316,5,316,5,316,226
0000000110001011,2,413,2,413,2,413,6,495,6,495,6,495,249
0000000110001100,4,132,4,132,4,132,4,213,4,213,4,213,318
0000000110001101,3,447,3,447,3,447,3,248,3,248,3,248,377
0000000110001110,4,306,4,306,4,306,9,345,9,345,9,345,343
0000000110001111,4,413,4,413,4,413,6,496,6,496,6,496,409
0000000110010000,8,344,8,344,8,344,2,449,2,449,2,449,244
0000000110010001,2,447,2,447,2,447,1,482,1,482,1,482,192
0000000110010010,4,614,4,614,4,614,11,494,11,494,11,494,351
0000000110010011,3,513,3,513,3,513,4,750,4,750,4,750,255
0000000110010100,6,478,6,478,6,478,10,433,10,433,10,433,191
0000000110010101,6,640,6,640,6,640,8,561,8,561,8,561,228
0000000110010110,4,644,4,644,4,644,11,538,11,538,11,538,274
0000000110010111,4,758,4,758,4,758,10,656,10,656,10,656,357
0000000110011000,3,324,3,324,3,324,3,308,3,308,3,308,179
0000000110011001,4,426,4,426,4,426,4,368,4,368,4,368,184
0000000110011010,1,443,1,443,1,443,5,422,5,422,5,422,168
